X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
815;680;0.4246003;0.6298724;0.4246003;0.6298724;600.1;0.1875647;False;12/21/2025 10:50:07 PM:817;1766332207817;;
883;339;0.4604021;0.3142763;0.5173592;0.1437343;605.9;0.1972701;False;12/21/2025 10:50:08 PM:19;1766332208019;;
905;532;0.4716071;0.4934315;0.5057632;0.6087345;614.3;0.187696;False;12/21/2025 10:50:09 PM:540;1766332209540;;
942;541;0.4911353;0.5012702;0.574984;0.620806;621.9;0.188178;False;12/21/2025 10:50:09 PM:598;1766332209598;;
935;501;0.487128;0.4647638;0.4648323;0.3716153;629.1;0.1839657;False;12/21/2025 10:50:09 PM:654;1766332209654;;
894;527;0.4659015;0.4887603;0.4387207;0.577692;634.3;0.2210024;False;12/21/2025 10:50:11 PM:678;1766332211678;;
896;443;0.4668835;0.4108621;0.477356;0.2550713;639.0;0.2153165;False;12/21/2025 10:50:11 PM:726;1766332211726;;
896;447;0.4668316;0.4140542;0.4505259;0.4615449;646.1;0.2295062;False;12/21/2025 10:50:11 PM:779;1766332211779;;
891;501;0.4644185;0.4641305;0.4397503;0.5817171;644.9;0.2367251;False;12/21/2025 10:50:12 PM:133;1766332212133;;
891;501;0.4641938;0.4641522;0.4517149;0.5536719;643.9;0.2296705;False;12/21/2025 10:50:12 PM:167;1766332212167;;
886;503;0.461555;0.4662582;0.4323799;0.5475954;636.4;0.2029316;False;12/21/2025 10:50:12 PM:400;1766332212400;;
885;502;0.461369;0.4655183;0.4419865;0.4585323;629.6;0.1967318;False;12/21/2025 10:50:12 PM:432;1766332212432;;
883;594;0.4602176;0.5503315;0.4529926;0.6628358;655.6;0.197454;False;12/21/2025 10:50:13 PM:398;1766332213398;;
881;595;0.4589991;0.5512179;0.4302897;0.5603127;678.9;0.1981947;False;12/21/2025 10:50:13 PM:431;1766332213431;;
876;597;0.4565268;0.5529464;0.417626;0.5839843;698.3;0.1828097;False;12/21/2025 10:50:13 PM:465;1766332213465;;
872;598;0.4546537;0.5542643;0.4176294;0.5839815;715.8;0.1827945;False;12/21/2025 10:50:13 PM:497;1766332213497;;
865;600;0.4507914;0.5562176;0.402391;0.6351503;737.3;0.1638518;False;12/21/2025 10:50:13 PM:533;1766332213533;;
860;602;0.4479695;0.5577067;0.4023941;0.6351498;756.6;0.1638362;False;12/21/2025 10:50:13 PM:568;1766332213568;;
859;603;0.4477314;0.5587241;0.4221112;0.576997;764.0;0.1871311;False;12/21/2025 10:50:13 PM:603;1766332213603;;
859;600;0.4474921;0.556174;0.4409868;0.532602;770.7;0.1871749;False;12/21/2025 10:50:13 PM:642;1766332213642;;
956;603;0.4980802;0.5585079;0.5374666;0.5697556;758.3;0.2362089;False;12/21/2025 10:50:17 PM:404;1766332217404;;
954;501;0.4970118;0.4643776;0.4883937;0.2662049;747.1;0.220562;False;12/21/2025 10:50:17 PM:451;1766332217451;;
937;501;0.4880607;0.4646136;0.4467402;0.4692387;741.1;0.2253952;False;12/21/2025 10:50:17 PM:500;1766332217500;;
930;494;0.4848758;0.4576087;0.4600572;0.4072005;727.5;0.2216666;False;12/21/2025 10:50:17 PM:550;1766332217550;;
